brand,model,fuel type,transmission,price,month,units_sold,year
Tata,Harrier,,,1211206.596,Nov-21,454,2018
Honda,CR-V,,,3660073.196,Aug-23,774,2018
Honda,CR-V,,,3317446.403,May-20,401,2020
Maruti,Swift,,,2510561.759,Nov-21,202,2025
Kia,Seltos,,,3251507.537,Dec-18,664,2022
Kia,Seltos,,,1753450.004,Aug-25,705,2023
Maruti,Brezza,,,735631.8333,Apr-20,837,2021
Kia,Seltos,,,3413342.743,Jun-24,309,2020
Honda,Elevate,Petrol,"Manual, Automatic",1151841.381,"Sep, 2024",692,2020
Tata,Curvv,"Diesel, Petrol","Manual, Automatic",1012500.6,"Nov, 2024",358,2020
Maruti,Brezza,,,3251111.941,Sep-20,296,2018
Maruti,Brezza,,,1023394.605,Apr-25,105,2025
Kia,Sonet,,,3345955.197,Feb-25,744,2019
Kia,Sonet,,,2997855.513,Feb-23,909,2021
Tata,Harrier,,,3245516.395,Mar-18,159,2021
Kia,Seltos,"Diesel, Petrol","Manual, Automatic",1102570.564,"Nov, 2024",448,2018
Toyota,Camry,,,2573542.239,Aug-24,226,2019
Hyundai,i20,,,4004474.733,Mar-24,408,2021
Mahindra,Thar,,,1627823.15,Sep-22,134,2023
Tata,Altroz,,,932810.948,Mar-25,106,2023
Honda,Civic,,,3295224.716,Aug-20,544,2023
Maruti,Brezza,,,684896.5742,Dec-23,797,2025
Ford,Endeavour,,,2011708.647,May-20,913,2023
Mahindra,Scorpio-N,"Diesel, Petrol","Manual, Automatic",1390209.095,"Nov, 2024",749,2021
Kia,Sonet,,,1811151.025,Feb-19,268,2019
Honda,Accord,,,2481005.128,Apr-23,965,2025
Hyundai,Creta,,,707828.1124,Apr-22,248,2025
Honda,Accord,,,3782811.533,May-23,858,2021
Mahindra,XUV500,,,884738.7158,Oct-23,775,2019
Mercedes,C-Class,,,790557.4883,Apr-24,742,2021
BMW,x5,,,525948.3939,May-19,740,2018
Hyundai,i10,,,2832488.989,Jul-20,80,2019
Mercedes,C-Class,,,3374482.314,Aug-23,268,2018
Maruti,Baleno,,,1790760.983,Nov-24,212,2018
Hyundai,Creta,,,551478.803,Mar-23,117,2025
Honda,Civic,,,3628775.344,Jul-20,684,2024
Mahindra,Scorpio,,,1457126.769,Jan-24,754,2021
Ford,Endeavour,,,698410.0447,Apr-21,288,2018
Maruti,Baleno,,,1121234.108,Oct-18,787,2020
Toyota,Glanza,"CNG, Petrol","Manual, Automatic",685926.9963,"Dec, 2024",436,2018
Honda,Civic,,,3187638.97,Jun-20,707,2021
Maruti,Brezza,,,3923198.304,Apr-20,149,2025
Maruti,Baleno,,,1281283.4,Apr-19,586,2024
Toyota,Fortuner,,,3349312.969,Aug-20,346,2025
Hyundai,i10,,,2737208.69,Dec-19,752,2025
Citroen,Aircross,Petrol,"Manual, Automatic",827860.5538,"Aug, 2024",107,2023
MG,Astor,Petrol,"Manual, Automatic",979944.5211,"Dec, 2024",650,2022
MG,ZS EV,Unknown,Unknown,1897299.615,"Dec, 2024",916,2025
Ford,Endeavour,,,1879645.127,May-21,999,2018
BMW,X1,,,2184993.042,Sep-21,520,2023
BMW,X1,,,3402504.577,Feb-18,165,2020
Kia,Sonet,,,3382490.305,Nov-20,166,2025
Maruti,Swift,,,3587531.636,Jun-23,373,2021
Kia,Carens,,,887600.3993,Dec-22,955,2018
Mahindra,Scorpio,,,3412645.164,Jul-25,207,2022
Mahindra,Scorpio,,,2360502.77,Oct-22,289,2021
Honda,Amaze 2022-2023,Petrol,"Manual, Automatic",712080.6103,"Jun, 2024",141,2022
Hyundai,i20,,,1838490.507,Sep-18,926,2022
Tata,Altroz,,,2462118.536,Jun-23,622,2025
Toyota,Corolla,,,2636379.96,Mar-19,396,2024
Mahindra,KUV 100 NXT,Petrol,Manual,621569.9903,"Nov, 2022",496,2025
Toyota,Corolla,,,3122478.099,Oct-25,80,2022
Renault,Triber,Petrol,"Manual, Automatic",600045.5154,"Aug, 2024",571,2025
Ford,EcoSport,,,2577822.237,Nov-21,681,2021
Maruti,Swift,,,1886266.512,Dec-20,890,2019
Citroen,Aircross,Petrol,"Manual, Automatic",883038.5224,"Dec, 2024",676,2019
Hyundai,i10,,,2091646.969,May-23,79,2025
Mercedes,E-Class,,,1396733.614,Apr-18,81,2019
Tata,Harrier,,,3668779.232,Oct-23,203,2019
Ford,EcoSport,,,3940390.427,Sep-24,304,2025
Maruti Suzuki,FRONX,"CNG, Petrol","Manual, Automatic",741315.5079,"Oct, 2024",238,2018
Toyota,Innova Hycross,Petrol,Automatic,1933342.839,"Oct, 2024",728,2022
Hyundai,Creta,,,402140.5925,Apr-24,460,2018
Hyundai,i20,,,3890435.678,Mar-24,680,2020
Mahindra,Thar,"Diesel, Petrol","Manual, Automatic",1125528.137,"Oct, 2024",438,2018
Mahindra,Scorpio,,,2752503.986,Sep-20,572,2025
Mahindra,XUV500,,,3606248.299,Apr-21,670,2021
Tata,Altroz,,,2920609.522,Jan-18,490,2022
BMW,3 Series,,,3976120.192,May-19,657,2023
Hyundai,Creta,,,2274269.771,Sep-22,146,2022
Tata,Altroz,,,584158.8474,Aug-21,760,2021
BMW,X1,,,2740892.153,Sep-21,131,2023
Mahindra,XUV500,,,2903805.091,Jun-22,204,2023
Kia,Sonet,,,409094.5202,Sep-19,992,2025
Toyota,Camry,,,3174994.684,May-25,523,2021
Honda,City,Petrol,"Manual, Automatic",1191268.148,"Sep, 2024",784,2025
Tata,Altroz,,,3768558.793,Oct-25,734,2018
Kia,Sonet,,,718592.3353,Oct-24,361,2018
Tata,Altroz,,,2059465.435,Dec-22,496,2024
Maruti Suzuki,Jimny,Petrol,"Manual, Automatic",1290636.402,"Nov, 2024",91,2019
Ford,EcoSport,,,1922780.753,Jun-25,809,2020
Ford,EcoSport,,,3465655.676,Aug-21,549,2024
Mercedes,GLA,,,1318378.927,Jun-20,830,2024
Toyota,Fortuner,,,2650912.556,Feb-25,770,2021
Tata,Harrier,,,2363351.885,Mar-18,161,2018
Mahindra,Scorpio,,,1865296.104,Jul-21,432,2018
Honda,Accord,,,3420289.367,Apr-21,970,2018
BMW,X5,,,765865.324,Jul-23,490,2018
Hyundai,Creta,,,2102031.665,Dec-18,273,2025
Maruti Suzuki,Alto K10,"CNG, Petrol","Manual, Automatic",412895.5666,"Dec, 2024",512,2018
Tata,Harrier,,,550713.3901,Apr-20,727,2021
Kia,Seltos,,,1265963.12,Dec-24,553,2021
Maruti,Swift,,,3957420.289,Oct-24,606,2023
Toyota,Corolla,,,2553566.633,Sep-19,491,2018
Ford,Endeavour,,,3385019.25,May-23,958,2024
Toyota,Fortuner,,,3023827.298,Mar-20,603,2021
Maruti Suzuki,Eeco,"CNG, Petrol",Manual,543818.9559,"Nov, 2024",206,2025
BMW,X5,,,400000.8829,Oct-20,920,2023
Mercedes,C-Class,,,2547069.488,Feb-18,911,2020
Maruti,Baleno,,,884428.9308,Dec-24,536,2024
Toyota,Camry,,,839032.9482,Apr-25,534,2019
Ford,Endeavour,,,1844870.932,May-21,775,2020
BMW,3 Series,,,691479.2685,Mar-20,65,2024
Honda,Accord,,,2476438.724,Apr-23,584,2025
Toyota,Corolla,,,1142060.855,Jan-23,676,2025
Mercedes,GLA,,,3916118.071,Sep-21,731,2022
Honda,Civic,,,3254042.55,Aug-20,279,2023
Tata,Harrier,Diesel,"Manual, Automatic",1514749.585,"Aug, 2024",245,2021
Mahindra,Thar,,,1018821.805,Aug-20,847,2024
BMW,3 Series,,,2212125.227,Jun-19,58,2022
Mercedes,GLA,,,510260.0713,Aug-25,869,2022
Toyota,Corolla,,,3163875.465,Mar-25,473,2022
Mercedes,E-Class,,,502314.4029,Feb-23,570,2025
Volkswagen,Tiguan,Petrol,Automatic,3497726.447,"Aug, 2024",252,2022
MG,Comet EV,Unknown,Unknown,711430.1475,"Oct, 2024",819,2025
Mercedes,GLA,,,1123067.965,Apr-24,948,2018
Citroen,eC3,Unknown,Unknown,1150031.52,"Aug, 2024",558,2024
Skoda,Superb,Petrol,Automatic,5387133.09,"Dec, 2024",656,2024
Mercedes,E-Class,,,2907679.608,Dec-20,80,2019
Mahindra,XUV700,"Diesel, Petrol","Manual, Automatic",1418341.583,"Nov, 2024",115,2023
Tata,Nexon,,,2294987.975,Apr-21,264,2021
Mercedes,E-Class,,,3036680.097,Sep-22,342,2024
Tata,Nexon,,,965604.1138,Apr-22,829,2020
Mercedes,GLA,,,1358888.361,Jul-20,278,2024
MG,Hector,"Diesel, Petrol","Manual, Automatic",1434761.281,"Sep, 2024",370,2023
Hyundai,i10,,,2765735.27,Dec-19,620,2022
Mahindra,XUV500,,,2901826.056,Jun-22,183,2021
Maruti,Brezza,,,3797040.063,Jan-23,629,2023
Maruti,Baleno,,,2665364.998,Oct-25,451,2022
Mahindra,XUV500,,,1491758.47,Oct-22,596,2020
Mahindra,XUV500,,,1882140.628,Dec-25,466,2024
Maruti,Swift,,,1280269.816,Nov-20,118,2021
MG,Astor,Petrol,"Manual, Automatic",967338.4327,"Nov, 2024",300,2023
Kia,Seltos,,,1476268.003,Dec-18,974,2020
Ford,Figo,,,3759689.415,Feb-20,841,2019
Hyundai,i20,,,2932311.228,Dec-21,494,2022
Honda,CR-V,,,3847016.698,Sep-24,787,2022
Honda,Civic,,,3258273.651,Aug-20,789,2023
Citroen,C5 Aircross,Diesel,Automatic,3687581.138,"Sep, 2024",277,2023
Mahindra,Scorpio,,,3793647.139,Sep-22,738,2021
